"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","Call.type","PowerDb","NoisevalueDb"
9,"Spectrogram 1",1,1711.086218779,1715.574901599,580,1080.8,12.6,"1_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Hfunstart",35.5646169995362,32.6093108770792
10,"Spectrogram 1",1,1726.482931729,1728.018338949,143.4,470.1,10.9,"1_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_start",20.892610427679,35.2377999542508
11,"Spectrogram 1",1,1729.043701289,1730.074317089,159.3,709.1,11.57,"1_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P1",26.03731448712,36.2288379772767
12,"Spectrogram 1",1,1715.619519279,1722.416279029,580,1526.5,11.53,"1_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Hfuntrill",28.0578174390425,33.9889547419464
13,"Spectrogram 1",1,1731.318806709,1732.092179809,326.7,756.9,12.46,"1_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P2",34.8356594023832,33.5992152549018
14,"Spectrogram 1",1,1733.445582729,1734.427171669,294.8,669.3,11.28,"1_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P3",27.9697790838894,33.4350516733374
15,"Spectrogram 1",1,1735.973917869,1736.791908649,318.7,693.2,11.22,"1_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P4",26.5432362294379,33.1471391958436
16,"Spectrogram 1",1,1738.489821669,1739.292939889,278.9,605.5,11.26,"1_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P5",26.0304172842958,33.2383925888787
17,"Spectrogram 1",1,1741.285862879,1742.148471339,294.8,701.1,12.53,"1_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P6",33.9231695153928,33.5267398308743
18,"Spectrogram 1",1,1744.089773909,1745.205215879,255,669.3,11.71,"1_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P7",25.3127377167387,33.9206932419822
19,"Spectrogram 1",1,1747.153521189,1748.477178999,159.3,390.4,10.3,"1_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P8",19.8059011345135,33.8830831707937
20,"Spectrogram 1",1,1750.705782179,1752.044312549,127.5,398.4,11.12,"1_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P9",20.3126717855468,34.7009197829597
21,"Spectrogram 1",1,1754.222002369,1755.768748569,127.5,398.4,10.36,"1_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P10",16.3867899291768,35.0780501595608
22,"Spectrogram 1",1,1778.033321659,1785.226599259,589.6,1381.6,10.84,"1_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Halbstart",19.9585312557199,33.6872478955604
