"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","PowerDbWithNoise","NoisevalueDb"
"M1",9,"Spectrogram 1",1,2548.136218779,2552.624901599,580,1080.8,4.4887,-26.51,24.68,"1_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.081475314252,72.2799418452584,54.4838296636722
"M1",12,"Spectrogram 1",1,2552.669519279,2559.466279029,580,1425,6.7968,-28.8,23.53,"1_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.9566557333881,69.978460298383,50.8836365992989
"M1",22,"Spectrogram 1",1,2615.083321659,2622.276599259,589.6,1381.6,7.1933,-31.46,15.36,"1_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",62.7588975840554,67.1429751609446,59.1042198889957
"M1",23,"Spectrogram 1",1,2622.444863059,2627.114183659,748.9,1593.5,4.6693,-26.06,21.51,"1_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.2349147950023,71.9460715080282,49.8559392355915
"M1",24,"Spectrogram 1",1,2627.501441759,2630.509157259,358.5,900.3,3.0077,-38.08,12.34,"1_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",56.425040570353,60.6127376188827,52.266070695305
"M1",43,"Spectrogram 1",1,2697.605218779,2702.093901599,580,1080.8,4.4887,-26.45,24.05,"2_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.1043990422245,72.3252260737726,54.6787575954844
"M1",46,"Spectrogram 1",1,2702.138519279,2708.935279029,580,1425,6.7968,-28.87,23.68,"2_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.9093513709547,69.900906132298,50.5598925564187
"M1",56,"Spectrogram 1",1,2764.552321659,2771.745599259,589.6,1381.6,7.1933,-31.22,16.52,"2_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",62.8767723799803,67.3124239154449,59.3516381785336
"M1",57,"Spectrogram 1",1,2771.913863059,2776.583183659,748.9,1593.5,4.6693,-26.03,21.61,"2_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.3807595455644,72.0018609280815,48.7801244817637
"M1",58,"Spectrogram 1",1,2776.970441759,2779.978157259,358.5,900.3,3.0077,-38.35,13.04,"2_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",56.345069355035,60.4534307693589,51.9771540255074
"M1",77,"Spectrogram 1",1,2847.036218779,2851.524901599,580,1080.8,4.4887,-26.66,24.4,"3_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",70.6488608155338,72.1556874830252,56.1981430674889
"M1",80,"Spectrogram 1",1,2851.569519279,2858.366279029,580,1425,6.7968,-28.83,23.43,"3_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.9369563165255,69.935909840976,50.6558390989965
"M1",90,"Spectrogram 1",1,2913.983321659,2921.176599259,589.6,1381.6,7.1933,-31.29,16.38,"3_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",62.8211825026976,67.2578849683628,59.2986759888959
"M1",91,"Spectrogram 1",1,2921.344863059,2926.014183659,748.9,1593.5,4.6693,-26.13,20.99,"3_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.2855095231721,71.9179498096247,48.8477527048338
"M1",92,"Spectrogram 1",1,2926.401441759,2929.409157259,358.5,900.3,3.0077,-38.17,12.99,"3_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",56.4763452287392,60.5759653534334,52.0852158417218
"M2",9,"Spectrogram 1",1,2548.036218779,2552.524901599,580,1080.8,4.4887,-34.61,23.4,"1_Hfunstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",62.694102040459,64.2144026767786,48.3276404298155
"M2",12,"Spectrogram 1",1,2552.569519279,2559.366279029,580,1425,6.7968,-37.71,21.05,"1_Hfuntrill","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",59.4989560449545,60.9510561545224,44.6987638086086
"M2",22,"Spectrogram 1",1,2614.983321659,2622.176599259,589.6,1381.6,7.1933,-39.39,15.47,"1_Halbstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",54.1401963187783,59.1138189863673,51.9025199422754
