"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","PowerDb","NoisevalueDb"
9,"Spectrogram 1",1,1711.086218779,1715.574901599,580,1080.8,12.6,"1_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",35.9268483888174,32.07330457898
10,"Spectrogram 1",1,1726.482931729,1728.018338949,143.4,470.1,10.9,"1_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",21.5613894203301,35.1034603529189
11,"Spectrogram 1",1,1729.043701289,1730.074317089,159.3,709.1,11.57,"1_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",26.7201325846946,36.0062696036298
12,"Spectrogram 1",1,1715.619519279,1722.416279029,580,1526.5,11.53,"1_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",27.89930704657,34.0679439783212
13,"Spectrogram 1",1,1731.318806709,1732.092179809,326.7,756.9,12.46,"1_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",35.24567635879,33.101125616467
14,"Spectrogram 1",1,1733.445582729,1734.427171669,294.8,669.3,11.28,"1_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",28.7738384530523,32.9739926586897
15,"Spectrogram 1",1,1735.973917869,1736.791908649,318.7,693.2,11.22,"1_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",27.1896753160449,32.827574880845
16,"Spectrogram 1",1,1738.489821669,1739.292939889,278.9,605.5,11.26,"1_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",27.0819076182835,32.736696200275
17,"Spectrogram 1",1,1741.285862879,1742.148471339,294.8,701.1,12.53,"1_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",34.3375595907138,33.0707214473313
18,"Spectrogram 1",1,1744.089773909,1745.205215879,255,669.3,11.71,"1_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",25.5098361898869,33.8463778413152
19,"Spectrogram 1",1,1747.153521189,1748.477178999,159.3,390.4,10.3,"1_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",21.6351168381827,33.4707910822421
20,"Spectrogram 1",1,1750.705782179,1752.044312549,127.5,398.4,11.12,"1_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",20.5936092263056,34.6462678950178
21,"Spectrogram 1",1,1754.222002369,1755.768748569,127.5,398.4,10.36,"1_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",18.788589506498,34.7502795702852
22,"Spectrogram 1",1,1778.033321659,1785.226599259,589.6,1381.6,10.84,"1_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",21.8735948647586,33.2345895071333
23,"Spectrogram 1",1,1785.394863059,1790.064183659,748.9,1593.5,11.66,"1_Halbpeak","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",28.9824928748494,32.5537013459778
24,"Spectrogram 1",1,1790.451441759,1793.459157259,358.5,900.3,10.8,"1_Halbend","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",18.816762618102,33.3760443519282
25,"Spectrogram 1",1,1796.17408468,1797.01540368,96.711,414.3,11.52,"1_PwurP_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",27.1147227900179,36.3347551285241
26,"Spectrogram 1",1,1798.116343418,1798.894563518,90.704,501.9,15.36,"1_PwurP_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",28.1345433425181,36.7844609073989
27,"Spectrogram 1",1,1800.02426508,1800.67628738,86.757,478,16.37,"1_PwurP_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",29.3602092359104,36.8574041999171
28,"Spectrogram 1",1,1801.729585914,1802.528839014,94.566,390.4,11.13,"1_PwurP_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",30.5844445705574,36.0928641684638
29,"Spectrogram 1",1,1803.751035257,1804.592354357,86.671,345.224,14.14,"1_PwurP_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",26.0854064617583,36.1966862967424
30,"Spectrogram 1",1,1807.617389459,1808.500774359,23.9,255,11.87,"1_PwurS_S1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",25.3284184187781,40.2464269434006
31,"Spectrogram 1",1,1810.162379459,1810.940599559,47.8,247,11.78,"1_PwurS_S2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",25.9979831026635,38.1513649708142
32,"Spectrogram 1",1,1812.497039759,1813.485589559,39.8,239,11.29,"1_PwurS_S3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",23.1508977948013,38.5396617436189
33,"Spectrogram 1",1,1815.042029759,1816.030579659,31.9,247,12.78,"1_PwurS_S4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",27.2090286781583,39.099671802954
34,"Spectrogram 1",1,1817.499673559,1818.404091559,31.9,207.2,11.54,"1_PwurS_S5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",26.6234788631078,38.9585564184377
43,"Spectrogram 1",1,1860.555218779,1865.043901599,580,1080.8,12.86,"2_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",35.4880461691547,31.8549527684123
44,"Spectrogram 1",1,1875.951931729,1877.487338949,143.4,470.1,11.59,"2_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",19.5112198334583,34.9837848464327
45,"Spectrogram 1",1,1878.512701289,1879.543317089,159.3,709.1,11.45,"2_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",26.4274982075181,35.746895239771
46,"Spectrogram 1",1,1865.088519279,1871.885279029,580,1526.5,11.46,"2_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",28.05980972773,33.9030682667907
47,"Spectrogram 1",1,1880.787806709,1881.561179809,326.7,756.9,13.07,"2_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",35.549983308492,33.0444216512513
48,"Spectrogram 1",1,1882.914582729,1883.896171669,294.8,669.3,11.79,"2_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",29.1917791116486,32.958332661911
49,"Spectrogram 1",1,1885.442917869,1886.260908649,318.7,693.2,11.53,"2_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",27.1431354671529,32.8579312339483
50,"Spectrogram 1",1,1887.958821669,1888.761939889,278.9,605.5,11.35,"2_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",26.9917150482847,33.0289198598628
