"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb"
"M1",9,"Spectrogram 1",1,2548.136218779,2552.624901599,580,1080.8,4.4887,-26.51,24.68,"1_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",70.5397117447193,57.4601967226899
"M1",12,"Spectrogram 1",1,2552.669519279,2559.466279029,580,1526.5,6.7968,-28.8,23.53,"1_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.8482185432051,52.2573934189862
"M1",22,"Spectrogram 1",1,2615.083321659,2622.276599259,589.6,1381.6,7.1933,-31.46,15.36,"1_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.1994671949298,53.1847735230592
"M1",23,"Spectrogram 1",1,2622.444863059,2627.114183659,748.9,1593.5,4.6693,-26.06,21.51,"1_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.2945993483993,49.1240023604039
"M1",24,"Spectrogram 1",1,2627.501441759,2630.509157259,358.5,900.3,3.0077,-38.08,12.34,"1_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",56.7664769113094,51.6849461432072
"M1",43,"Spectrogram 1",1,2697.605218779,2702.093901599,580,1080.8,4.4887,-26.45,24.05,"2_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",70.6533465848691,57.1905040773058
"M1",46,"Spectrogram 1",1,2702.138519279,2708.935279029,580,1526.5,6.7968,-28.87,23.68,"2_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.7306400578151,52.4512868831041
"M1",56,"Spectrogram 1",1,2764.552321659,2771.745599259,589.6,1381.6,7.1933,-31.22,16.52,"2_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.5316576051917,52.673099981961
"M1",57,"Spectrogram 1",1,2771.913863059,2776.583183659,748.9,1593.5,4.6693,-26.03,21.61,"2_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.3767974639083,48.8333994955348
"M1",58,"Spectrogram 1",1,2776.970441759,2779.978157259,358.5,900.3,3.0077,-38.35,13.04,"2_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",56.466867263321,51.7719412850448
"M1",77,"Spectrogram 1",1,2847.036218779,2851.524901599,580,1080.8,4.4887,-26.66,24.4,"3_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",70.37171313972,57.5304478202074
"M1",80,"Spectrogram 1",1,2851.569519279,2858.366279029,580,1526.5,6.7968,-28.83,23.43,"3_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.6486164417241,53.2153540733621
"M1",90,"Spectrogram 1",1,2913.983321659,2921.176599259,589.6,1381.6,7.1933,-31.29,16.38,"3_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.3454013583288,53.1748500473382
"M1",91,"Spectrogram 1",1,2921.344863059,2926.014183659,748.9,1593.5,4.6693,-26.13,20.99,"3_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.2848318292925,48.8567203878927
"M1",92,"Spectrogram 1",1,2926.401441759,2929.409157259,358.5,900.3,3.0077,-38.17,12.99,"3_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",56.6299189848781,51.8244679128536
"M2",9,"Spectrogram 1",1,2548.036218779,2552.524901599,580,1080.8,4.4887,-34.61,23.4,"1_Hfunstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",62.2964154686959,50.153676691267
"M2",12,"Spectrogram 1",1,2552.569519279,2559.366279029,580,1526.5,6.7968,-37.71,21.05,"1_Hfuntrill","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",58.9175475957693,47.7623666821892
"M2",22,"Spectrogram 1",1,2614.983321659,2622.176599259,589.6,1381.6,7.1933,-39.39,15.47,"1_Halbstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",56.7406270818167,46.6845944608761
"M2",23,"Spectrogram 1",1,2622.344863059,2627.014183659,748.9,1593.5,4.6693,-35.93,19.96,"1_Halbpeak","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",60.8509972716001,42.9896443904862
"M2",24,"Spectrogram 1",1,2627.401441759,2630.409157259,358.5,900.3,3.0077,-44.44,12.11,"1_Halbend","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",50.3024663917409,45.4107685680001
"M2",43,"Spectrogram 1",1,2697.505218779,2701.993901599,580,1080.8,4.4887,-34.72,23.74,"2_Hfunstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",62.3650459860233,49.1539813433201
"M2",46,"Spectrogram 1",1,2702.038519279,2708.835279029,580,1526.5,6.7968,-37.88,21.42,"2_Hfuntrill","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",58.8612228150156,47.3980095658809
"M2",56,"Spectrogram 1",1,2764.452321659,2771.645599259,589.6,1381.6,7.1933,-39.13,17.18,"2_Halbstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",57.1624939064578,46.580046632061
"M2",57,"Spectrogram 1",1,2771.813863059,2776.483183659,748.9,1593.5,4.6693,-35.83,19.88,"2_Halbpeak","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",60.9654703057418,43.2693489654345
"M2",58,"Spectrogram 1",1,2776.870441759,2779.878157259,358.5,900.3,3.0077,-44.65,12.08,"2_Halbend","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",50.2086215558008,44.6282309909942
"M2",77,"Spectrogram 1",1,2846.936218779,2851.424901599,580,1080.8,4.4887,-34.89,21.91,"3_Hfunstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",61.9281254165493,50.0607276482326
"M2",80,"Spectrogram 1",1,2851.469519279,2858.266279029,580,1526.5,6.7968,-37.56,21.05,"3_Hfuntrill","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",59.297226260404,47.1083293208721
"M2",90,"Spectrogram 1",1,2913.883321659,2921.076599259,589.6,1381.6,7.1933,-39.35,15.52,"3_Halbstart","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",56.9161159199173,46.3208044453839
"M2",91,"Spectrogram 1",1,2921.244863059,2925.914183659,748.9,1593.5,4.6693,-36.07,19.89,"3_Halbpeak","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",60.8577995117163,42.3976537812521
"M2",92,"Spectrogram 1",1,2926.301441759,2929.309157259,358.5,900.3,3.0077,-44.22,12.71,"3_Halbend","M2_20190823_064003",116.97133898735,4.74361295811832,"20190823","0640",51.2122234011051,44.6607812158318
"M3",9,"Spectrogram 1",1,2548.336218779,2552.824901599,580,1080.8,4.4887,-42.58,18.72,"1_Hfunstart","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",51.7670826422352,48.225846254552
"M3",12,"Spectrogram 1",1,2552.869519279,2559.666279029,580,1526.5,6.7968,-40.22,18.71,"1_Hfuntrill","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",56.0905768696283,46.4350211268007
"M3",22,"Spectrogram 1",1,2615.283321659,2622.476599259,589.6,1381.6,7.1933,-43.24,14.28,"1_Halbstart","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",51.950951176343,45.5436913328629
"M3",23,"Spectrogram 1",1,2622.644863059,2627.314183659,748.9,1593.5,4.6693,-37.33,18.96,"1_Halbpeak","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",59.2162653369617,43.9122984099017
"M3",24,"Spectrogram 1",1,2627.701441759,2630.709157259,358.5,900.3,3.0077,-48.17,11.99,"1_Halbend","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",40.7036417894033,46.7857550575588
"M3",43,"Spectrogram 1",1,2697.805218779,2702.293901599,580,1080.8,4.4887,-43.06,18.27,"2_Hfunstart","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",51.2185444572922,47.8133152196776
"M3",46,"Spectrogram 1",1,2702.338519279,2709.135279029,580,1526.5,6.7968,-40.65,18.8,"2_Hfuntrill","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",55.6595105795801,46.0912567445968
"M3",56,"Spectrogram 1",1,2764.752321659,2771.945599259,589.6,1381.6,7.1933,-41.42,17.49,"2_Halbstart","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",54.6562575340343,45.5387135552625
"M3",57,"Spectrogram 1",1,2772.113863059,2776.783183659,748.9,1593.5,4.6693,-37.69,18.61,"2_Halbpeak","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",58.9250558054885,43.4160583827211
"M3",58,"Spectrogram 1",1,2777.170441759,2780.178157259,358.5,900.3,3.0077,-49.08,11.88,"2_Halbend","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",40.2386940851675,45.7626756538926
"M3",77,"Spectrogram 1",1,2847.236218779,2851.724901599,580,1080.8,4.4887,-43.13,16.23,"3_Hfunstart","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",50.5154817527969,48.6266103677094
"M3",80,"Spectrogram 1",1,2851.769519279,2858.566279029,580,1526.5,6.7968,-39.94,19.09,"3_Hfuntrill","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",55.5652378223301,48.8790937946391
"M3",90,"Spectrogram 1",1,2914.183321659,2921.376599259,589.6,1381.6,7.1933,-43.42,13.93,"3_Halbstart","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",52.0103724321244,44.8243508323976
"M3",91,"Spectrogram 1",1,2921.544863059,2926.214183659,748.9,1593.5,4.6693,-37.96,18.73,"3_Halbpeak","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",58.7953110243835,43.2865715512302
"M3",92,"Spectrogram 1",1,2926.601441759,2929.609157259,358.5,900.3,3.0077,-47.94,12.98,"3_Halbend","M3_20190823_064003",116.971133965999,4.74398796446621,"20190823","0640",43.2433139986956,45.9284939813057
"M4",9,"Spectrogram 1",1,2547.786218779,2552.274901599,580,1080.8,4.4887,-46.52,20.69,"1_Hfunstart","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",48.3686275066696,43.4144698526034
"M4",12,"Spectrogram 1",1,2552.319519279,2559.116279029,580,1526.5,6.7968,-44.98,19.13,"1_Hfuntrill","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",51.0168130743819,42.4600274712417
"M4",22,"Spectrogram 1",1,2614.733321659,2621.926599259,589.6,1381.6,7.1933,-50,13.52,"1_Halbstart","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",45.1665736113964,39.4014623701435
"M4",23,"Spectrogram 1",1,2622.094863059,2626.764183659,748.9,1593.5,4.6693,-45.38,17.78,"1_Halbpeak","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",50.8884714269304,38.8632596278098
"M4",24,"Spectrogram 1",1,2627.151441759,2630.159157259,358.5,900.3,3.0077,-52.93,11.84,"1_Halbend","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",37.7749600348719,40.3518422217846
"M4",43,"Spectrogram 1",1,2697.255218779,2701.743901599,580,1080.8,4.4887,-49.41,17.08,"2_Hfunstart","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",44.9135919940726,41.4236074179138
"M4",46,"Spectrogram 1",1,2701.788519279,2708.585279029,580,1526.5,6.7968,-47.16,17.58,"2_Hfuntrill","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",48.283121355371,41.8147018728482
"M4",56,"Spectrogram 1",1,2764.202321659,2771.395599259,589.6,1381.6,7.1933,-44.99,18.88,"2_Halbstart","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",51.9363414612659,39.2047783079939
"M4",57,"Spectrogram 1",1,2771.563863059,2776.233183659,748.9,1593.5,4.6693,-45.89,16.91,"2_Halbpeak","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",50.2801772182569,38.9944218902575
"M4",58,"Spectrogram 1",1,2776.620441759,2779.628157259,358.5,900.3,3.0077,-55.22,11.71,"2_Halbend","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",34.8658028527809,39.1052681382032
"M4",77,"Spectrogram 1",1,2846.686218779,2851.174901599,580,1080.8,4.4887,-47.91,14.82,"3_Hfunstart","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",43.8367193455577,45.6699871117022
"M4",80,"Spectrogram 1",1,2851.219519279,2858.016279029,580,1526.5,6.7968,-45.62,17.93,"3_Hfuntrill","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",48.5325806025268,45.4005513915532
"M4",90,"Spectrogram 1",1,2913.633321659,2920.826599259,589.6,1381.6,7.1933,-50.17,13.09,"3_Halbstart","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",44.9848429515379,39.2627643609509
"M4",91,"Spectrogram 1",1,2920.994863059,2925.664183659,748.9,1593.5,4.6693,-46.19,17.79,"3_Halbpeak","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",49.7896495171155,39.5319987958955
"M4",92,"Spectrogram 1",1,2926.051441759,2929.059157259,358.5,900.3,3.0077,-53.81,12.71,"3_Halbend","M4_20190823_064003",116.970937997103,4.74437898024917,"20190823","0640",38.1704757415296,39.5106931183928
"M5",9,"Spectrogram 1",1,2545.336218779,2549.824901599,580,1080.8,4.4887,-44.86,20.13,"1_Hfunstart","M5_20190823_064007",116.970851998776,4.74482699297369,"20190823","0640",50.3819690806947,44.587348935901
"M5",12,"Spectrogram 1",1,2549.869519279,2556.666279029,580,1526.5,6.7968,-44.66,18.18,"1_Hfuntrill","M5_20190823_064007",116.970851998776,4.74482699297369,"20190823","0640",51.3145070090304,42.5804664666691
