"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",9,"Spectrogram 1",1,2548.136218779,2552.624901599,580,1080.8,4.4887,-26.51,24.68,"1_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,71.5877279485746,49.9646534682245,"y"
"M1",12,"Spectrogram 1",1,2552.669519279,2559.466279029,580,1526.5,6.7968,-28.8,23.53,"1_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,69.0069746221482,51.1017684327851,"y"
"M1",22,"Spectrogram 1",1,2615.083321659,2622.276599259,589.6,1381.6,7.1933,-31.46,15.36,"1_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,65.4677605806275,52.023948624441,"y"
"M1",23,"Spectrogram 1",1,2622.444863059,2627.114183659,748.9,1593.5,4.6693,-26.06,21.51,"1_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,71.2543439019943,49.6249189360764,"y"
"M1",24,"Spectrogram 1",1,2627.501441759,2630.509157259,358.5,900.3,3.0077,-38.08,12.34,"1_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,56.3264570413351,52.4228773655994,"y"
"M1",43,"Spectrogram 1",1,2697.605218779,2702.093901599,580,1080.8,4.4887,-26.45,24.05,"2_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,71.6472495482109,49.8364496752576,"y"
"M1",46,"Spectrogram 1",1,2702.138519279,2708.935279029,580,1526.5,6.7968,-28.87,23.68,"2_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,68.9543516113744,50.8328584111586,"y"
"M1",56,"Spectrogram 1",1,2764.552321659,2771.745599259,589.6,1381.6,7.1933,-31.22,16.52,"2_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,65.8406100465989,51.1676777230739,"y"
"M1",57,"Spectrogram 1",1,2771.913863059,2776.583183659,748.9,1593.5,4.6693,-26.03,21.61,"2_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,71.3648061638146,48.9925295085178,"y"
"M1",58,"Spectrogram 1",1,2776.970441759,2779.978157259,358.5,900.3,3.0077,-38.35,13.04,"2_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,56.2323387840139,52.1603994200061,"y"
"M1",77,"Spectrogram 1",1,2847.036218779,2851.524901599,580,1080.8,4.4887,-26.66,24.4,"3_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,71.5109301315643,49.2469428212784,"y"
"M1",80,"Spectrogram 1",1,2851.569519279,2858.366279029,580,1526.5,6.7968,-28.83,23.43,"3_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,69.060453313407,50.2769132612677,"y"
"M1",90,"Spectrogram 1",1,2913.983321659,2921.176599259,589.6,1381.6,7.1933,-31.29,16.38,"3_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,65.7802253137604,51.1447290489369,"y"
"M1",91,"Spectrogram 1",1,2921.344863059,2926.014183659,748.9,1593.5,4.6693,-26.13,20.99,"3_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,71.2676298437202,49.0810740985684,"y"
"M1",92,"Spectrogram 1",1,2926.401441759,2929.409157259,358.5,900.3,3.0077,-38.17,12.99,"3_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,20190823,640,56.3762799157675,52.2486148503082,"y"
"M1",9,"Spectrogram 1",1,1071.886218779,1076.374901599,580,1080.8,4.4887,-27.01,23.84,"1_Hfunstart","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,71.0717360980132,49.5069094084217,"y"
"M1",12,"Spectrogram 1",1,1076.419519279,1083.216279029,580,1526.5,6.7968,-28.89,23.65,"1_Hfuntrill","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,68.9517855179396,50.6098125953066,"y"
"M1",22,"Spectrogram 1",1,1138.833321659,1146.026599259,589.6,1381.6,7.1933,-31.55,15.31,"1_Halbstart","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,65.4222328255822,51.6207093241176,"y"
"M1",23,"Spectrogram 1",1,1146.194863059,1150.864183659,748.9,1593.5,4.6693,-26.59,20.74,"1_Halbpeak","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,70.8244272374684,49.0976104806203,"y"
"M1",24,"Spectrogram 1",1,1151.251441759,1154.259157259,358.5,900.3,3.0077,-38.1,12.5,"1_Halbend","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,56.3065851242275,52.4927140678293,"y"
"M1",43,"Spectrogram 1",1,1221.355218779,1225.843901599,580,1080.8,4.4887,-26.97,24.03,"2_Hfunstart","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,71.1164921074908,49.6111708551092,"y"
"M1",46,"Spectrogram 1",1,1225.888519279,1232.685279029,580,1526.5,6.7968,-28.87,23.78,"2_Hfuntrill","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,68.9852322645685,50.5656407757386,"y"
"M1",56,"Spectrogram 1",1,1288.302321659,1295.495599259,589.6,1381.6,7.1933,-31.47,15.22,"2_Halbstart","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,65.3619943619223,51.9656876436209,"y"
"M1",57,"Spectrogram 1",1,1295.663863059,1300.333183659,748.9,1593.5,4.6693,-26.84,21.13,"2_Halbpeak","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,70.6364927051065,49.2236294407223,"y"
"M1",58,"Spectrogram 1",1,1300.720441759,1303.728157259,358.5,900.3,3.0077,-38.55,12.73,"2_Halbend","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,55.7710939103562,52.2966871655892,"n"
"M1",77,"Spectrogram 1",1,1370.786218779,1375.274901599,580,1080.8,4.4887,-26.92,24.32,"3_Hfunstart","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,71.1742277063494,49.6966459044674,"y"
"M1",80,"Spectrogram 1",1,1375.319519279,1382.116279029,580,1526.5,6.7968,-28.85,23.92,"3_Hfuntrill","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,68.9778792466362,50.6473870097235,"y"
"M1",90,"Spectrogram 1",1,1437.733321659,1444.926599259,589.6,1381.6,7.1933,-31.49,15.59,"3_Halbstart","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,65.3856876190708,51.9191860950583,"y"
"M1",91,"Spectrogram 1",1,1445.094863059,1449.764183659,748.9,1593.5,4.6693,-26.79,20.34,"3_Halbpeak","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,70.697508032629,49.080671965221,"y"
"M1",92,"Spectrogram 1",1,1450.151441759,1453.159157259,358.5,900.3,3.0077,-38.62,12.25,"3_Halbend","M1_20190823_080004",116.971518024802,4.74323401227593,20190823,800,55.9019872091768,51.8935676584378,"n"
"M1",9,"Spectrogram 1",1,2416.486218779,2420.974901599,580,1080.8,4.4887,-26.69,24.35,"1_Hfunstart","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,71.4345104791574,49.6591610266519,"y"
"M1",12,"Spectrogram 1",1,2421.019519279,2427.816279029,580,1526.5,6.7968,-29.08,23.69,"1_Hfuntrill","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,68.7601239457641,50.3211684006349,"y"
"M1",22,"Spectrogram 1",1,2483.433321659,2490.626599259,589.6,1381.6,7.1933,-31.64,16.21,"1_Halbstart","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,64.823796912154,53.5162994705453,"y"
"M1",23,"Spectrogram 1",1,2490.794863059,2495.464183659,748.9,1593.5,4.6693,-26.18,21.62,"1_Halbpeak","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,71.0775946045808,51.1478675704722,"n"
"M1",24,"Spectrogram 1",1,2495.851441759,2498.859157259,358.5,900.3,3.0077,-36.85,12.39,"1_Halbend","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,58.1165600608718,52.8892945559653,"y"
