"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",9,"Spectrogram 1",1,2548.136219,2552.624902,580,1080.8,4.4887,-26.51,24.68,"1_Hfunstart","M1_20190823_064003",116.971518,4.743234012,20190823,640,71.38005544,52.14135065,"y"
"M1",12,"Spectrogram 1",1,2552.669519,2559.466279,580,1526.5,6.7968,-28.8,23.53,"1_Hfuntrill","M1_20190823_064003",116.971518,4.743234012,20190823,640,69.0287721,50.92857389,"y"
"M1",22,"Spectrogram 1",1,2615.083322,2622.276599,589.6,1381.6,7.1933,-31.46,15.36,"1_Halbstart","M1_20190823_064003",116.971518,4.743234012,20190823,640,62.96479789,58.78091968,"y"
"M1",23,"Spectrogram 1",1,2622.444863,2627.114184,748.9,1593.5,4.6693,-26.06,21.51,"1_Halbpeak","M1_20190823_064003",116.971518,4.743234012,20190823,640,71.27667122,49.35095262,"y"
"M1",24,"Spectrogram 1",1,2627.501442,2630.509157,358.5,900.3,3.0077,-38.08,12.34,"1_Halbend","M1_20190823_064003",116.971518,4.743234012,20190823,640,56.66644408,51.86166997,"y"
"M1",43,"Spectrogram 1",1,2697.605219,2702.093902,580,1080.8,4.4887,-26.45,24.05,"2_Hfunstart","M1_20190823_064003",116.971518,4.743234012,20190823,640,71.3586935,52.77448441,"y"
"M1",46,"Spectrogram 1",1,2702.138519,2708.935279,580,1526.5,6.7968,-28.87,23.68,"2_Hfuntrill","M1_20190823_064003",116.971518,4.743234012,20190823,640,68.97554598,50.66022142,"y"
"M1",56,"Spectrogram 1",1,2764.552322,2771.745599,589.6,1381.6,7.1933,-31.22,16.52,"2_Halbstart","M1_20190823_064003",116.971518,4.743234012,20190823,640,63.20940728,58.82730252,"y"
"M1",57,"Spectrogram 1",1,2771.913863,2776.583184,748.9,1593.5,4.6693,-26.03,21.61,"2_Halbpeak","M1_20190823_064003",116.971518,4.743234012,20190823,640,71.41082775,48.36397101,"y"
"M1",58,"Spectrogram 1",1,2776.970442,2779.978157,358.5,900.3,3.0077,-38.35,13.04,"2_Halbend","M1_20190823_064003",116.971518,4.743234012,20190823,640,56.48346267,51.74337438,"y"
