"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","dBdoubledist","Call.category"
-8.2554813850491,63.3322465635255,0,25,"1_Hfunstart","640",20190823,285.587882577442,43.9116801849785,2.56,85.970519053973,"Hfunstart"
-17.8434406174538,53.7442873311208,0,70,"1_Hfunstart","640",20190823,-42.3202552801521,44.013277544819,12.14,-12.7396662634828,"Hfunstart"
-21.3027122339213,50.2850157146533,0,118,"1_Hfunstart","640",20190823,-32.759388444446,38.4295115384045,10.1,-9.86155856138627,"Hfunstart"
-19.5991609392213,51.9885670093533,0,167,"1_Hfunstart","640",20190823,-24.4967749356304,40.2092337395169,4.8,-7.37426405265433,"Hfunstart"
-21.7835685134519,49.8041594351227,0,206,"1_Hfunstart","640",20190823,-24.385061237893,37.4913072959517,4.48,-7.34063487870886,"Hfunstart"
-9.4300328008734,59.5769418212748,0,25,"1_Hfuntrill","640",20190823,326.219995494696,44.849809270116,3.73,98.2020038292723,"Hfuntrill"
-12.5718622374093,56.4351123847389,0,70,"1_Hfuntrill","640",20190823,-29.8173671009189,45.2951974810039,6.87,-8.97592188910095,"Hfuntrill"
-17.3315326152215,51.6754420069267,0,118,"1_Hfuntrill","640",20190823,-26.6524939662631,40.401818434097,6.13,-8.02320014309847,"Hfuntrill"
-17.6052456376218,51.4017289845264,0,167,"1_Hfuntrill","640",20190823,-22.0046022076517,42.3374863919581,2.81,-6.62404530715702,"Hfuntrill"
-20.8617851365009,48.1451894856473,0,206,"1_Hfuntrill","640",20190823,-23.3531943019894,40.388388715602,3.56,-7.03001197946799,"Hfuntrill"
-8.7449735028994,56.7227870777281,0,25,"1_Halbstart","640",20190823,302.52124005898,46.7411319416606,3.04,91.0679675832169,"Halbstart"
-15.0531680531058,50.4145925275217,0,70,"1_Halbstart","640",20190823,-35.7024145981872,48.0792959384146,9.35,-10.7474977116859,"Halbstart"
-22.1712981527645,43.296462427863,0,118,"1_Halbstart","640",20190823,-34.0951030332885,42.1749601968949,10.97,-10.2636487182738,"Halbstart"
-28.6992386195216,36.7685219611059,0,167,"1_Halbstart","640",20190823,-35.8708615877259,42.0971354228117,13.9,-10.7982053082164,"Halbstart"
-34.3024113052396,31.1653492753879,0,206,"1_Halbstart","640",20190823,-38.3989611146183,39.3426427082013,17,-11.5592390978349,"Halbstart"
-10.4509317246815,60.8034121773128,0,25,"1_Halbpeak","640",20190823,361.536695802925,43.352919763198,4.75,108.833389969925,"Halbpeak"
-12.040908421734,59.2134354802603,0,70,"1_Halbpeak","640",20190823,-28.5580751570003,43.928760327867,6.34,-8.59683724068344,"Halbpeak"
-20.4243741992918,50.8299697027025,0,118,"1_Halbpeak","640",20190823,-31.4086770164364,39.092986450221,9.22,-9.45495390606923,"Halbpeak"
-27.9864222279015,43.2679216740928,0,167,"1_Halbpeak","640",20190823,-34.9799202474259,40.5614534532756,13.19,-10.530005240409,"Halbpeak"
