Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Sound Type	Class
1	Spectrogram 1	1	0.908274741	1.140624093	0	8000	0.2323	1_Phaser1	No.Orang
2	Spectrogram 1	1	3.94993899	5.977715156	0	8000	2.0278	1_Upsweep1	No.Orang
3	Spectrogram 1	1	7.942123317	10.08359543	0	8000	2.1415	1_Downsweep1	No.Orang
5	Spectrogram 1	1	12.9693184	15.0393399	0	8000	2.07	1_Upsweep2	No.Orang
6	Spectrogram 1	1	16.92214891	19.03441575	0	8000	2.1123	1_Downsweep2	No.Orang
7	Spectrogram 1	1	21.92822132	24.01936549	0	8000	2.0911	1_Upsweep3	No.Orang
8	Spectrogram 1	1	25.96265098	28.07491782	0	8000	2.1123	1_Downsweep3	No.Orang
9	Spectrogram 1	1	29.96539664	30.21886866	0	8000	0.2535	1_Phaser2	No.Orang
10	Spectrogram 1	1	39.29449352	43.78317634	582.831	1080.8	4.4887	1_Hfunstart	No.Orang
11	Spectrogram 1	1	54.74587398	56.27592862	176.23	400.637	1.5301	1_Pmor_start	Orang
12	Spectrogram 1	1	57.25197603	58.34064968	316.403	606.928	1.0887	1_Pmor_P1	Orang
13	Spectrogram 1	1	43.82779402	50.62455377	580	1526.487	6.7968	1_Hfuntrill	No.Orang
14	Spectrogram 1	1	59.57591428	60.42290881	397.556	701.442	0.847	1_Pmor_P2	Orang
15	Spectrogram 1	1	61.65385747	62.63544641	342.254	628.286	0.9816	1_Pmor_P3	Orang
16	Spectrogram 1	1	64.18219261	65.00018339	332.922	676.989	0.818	1_Pmor_P4	Orang
17	Spectrogram 1	1	66.69809641	67.58137876	287.528	605.5	0.8833	1_Pmor_P5	Orang
18	Spectrogram 1	1	69.49413762	70.50487603	398.054	683.299	1.0107	1_Pmor_P6	Orang
19	Spectrogram 1	1	72.29804865	73.59230772	297.567	579.681	1.2943	1_Pmor_P7	Orang
20	Spectrogram 1	1	75.36179593	76.8272804	181.461	373.468	1.4655	1_Pmor_P8	Orang
21	Spectrogram 1	1	78.91405692	80.25258729	184.422	366.56	1.3385	1_Pmor_P9	Orang
22	Spectrogram 1	1	82.43027711	83.97702331	151.211	364.245	1.5467	1_Pmor_P10	Orang
23	Spectrogram 1	1	106.2415964	113.1934006	611.822	1381.6	6.9518	1_Halbstart	No.Orang
24	Spectrogram 1	1	113.6031378	118.4060246	748.9	1593.5	4.8029	1_Halbpeak	No.Orang
25	Spectrogram 1	1	118.6597165	121.9306148	401.492	881.79	3.2709	1_Halbend	No.Orang
26	Spectrogram 1	1	124.2496665	125.1546585	96.711	414.3	0.905	1_PwurP_P1	Orang
27	Spectrogram 1	1	126.2267662	127.0049863	90.704	501.9	0.7782	1_PwurP_P2	Orang
28	Spectrogram 1	1	128.2248988	128.8769211	86.757	478	0.652	1_PwurP_P3	Orang
29	Spectrogram 1	1	129.8865039	130.685757	94.566	390.4	0.7993	1_PwurP_P4	Orang
30	Spectrogram 1	1	131.9267025	132.7680216	86.671	345.224	0.8413	1_PwurP_P5	Orang
31	Spectrogram 1	1	135.8256642	136.7120355	51.511	255	0.8864	1_PwurS_S1	Orang
32	Spectrogram 1	1	138.3706542	139.1488743	51.23	247	0.7782	1_PwurS_S2	Orang
33	Spectrogram 1	1	140.7053145	141.6938643	48.72	239	0.9885	1_PwurS_S3	Orang
34	Spectrogram 1	1	143.2503045	144.135444	51.637	247	0.8851	1_PwurS_S4	Orang
35	Spectrogram 1	1	145.7079483	146.6123663	53.033	249.434	0.9044	1_PwurS_S5	Orang
