"","wav.file","center.freq","high.freq","noise.valuedb","noise.file"
"1","M1_20190823_064003.wav",100,112,44.7102340558898,2
"2","M1_20190823_064003.wav",125,141,34.6406643912563,2
"3","M1_20190823_064003.wav",160,178,35.6528389955068,2
"4","M1_20190823_064003.wav",200,224,37.4338258592584,2
"5","M1_20190823_064003.wav",250,282,41.1909055444344,2
"6","M1_20190823_064003.wav",315,355,45.0756197149345,2
"7","M1_20190823_064003.wav",400,447,46.8039764560769,2
"8","M1_20190823_064003.wav",500,562,45.5528872373592,2
"9","M1_20190823_064003.wav",630,708,45.1010379662289,2
"10","M1_20190823_064003.wav",800,891,45.8887004241099,2
"11","M1_20190823_064003.wav",1000,1122,44.1608720116826,2
"12","M1_20190823_064003.wav",1250,1413,42.6728817698707,2
"13","M1_20190823_064003.wav",1600,1778,41.4060339157692,2
"14","M1_20190823_064003.wav",2000,2239,37.9104512515827,2
"15","M1_20190823_064003.wav",2500,2818,36.4244683173307,2
"16","M1_20190823_064003.wav",3150,3548,44.4988773931272,2
"17","M1_20190823_064003.wav",4000,4467,34.8676098348217,2
"18","M1_20190823_064003.wav",5000,5623,46.9206725886827,2
"19","M1_20190823_064003.wav",6300,7079,41.8445219313114,2
"20","M2_20190823_064003.wav",100,112,35.5054394543052,2
"21","M2_20190823_064003.wav",125,141,32.7886044632474,2
"22","M2_20190823_064003.wav",160,178,33.163933574826,2
"23","M2_20190823_064003.wav",200,224,33.0943995152721,2
"24","M2_20190823_064003.wav",250,282,33.6549507394626,2
"25","M2_20190823_064003.wav",315,355,36.0578998153592,2
"26","M2_20190823_064003.wav",400,447,37.4136321619728,2
"27","M2_20190823_064003.wav",500,562,38.9028337270283,2
"28","M2_20190823_064003.wav",630,708,39.4782219133519,2
"29","M2_20190823_064003.wav",800,891,39.1635717603328,2
"30","M2_20190823_064003.wav",1000,1122,38.3311954832388,2
"31","M2_20190823_064003.wav",1250,1413,35.652516019899,2
"32","M2_20190823_064003.wav",1600,1778,37.6020905125771,2
"33","M2_20190823_064003.wav",2000,2239,33.374774353263,2
"34","M2_20190823_064003.wav",2500,2818,33.9389573591493,2
"35","M2_20190823_064003.wav",3150,3548,43.6003789995281,2
"36","M2_20190823_064003.wav",4000,4467,33.7192280785306,2
"37","M2_20190823_064003.wav",5000,5623,45.9427271716083,2
"38","M2_20190823_064003.wav",6300,7079,42.8416950782577,2
"39","M3_20190823_064003.wav",100,112,34.1791823995251,2
"40","M3_20190823_064003.wav",125,141,31.4732105509354,2
"41","M3_20190823_064003.wav",160,178,33.3042599539803,2
"42","M3_20190823_064003.wav",200,224,33.0868078740566,2
"43","M3_20190823_064003.wav",250,282,36.6717812532688,2
"44","M3_20190823_064003.wav",315,355,39.4991576899091,2
"45","M3_20190823_064003.wav",400,447,40.4218816660983,2
"46","M3_20190823_064003.wav",500,562,39.6880623798956,2
"47","M3_20190823_064003.wav",630,708,39.0471253242078,2
"48","M3_20190823_064003.wav",800,891,39.9313582150682,2
"49","M3_20190823_064003.wav",1000,1122,38.8705039913765,2
"50","M3_20190823_064003.wav",1250,1413,36.640733271769,2
"51","M3_20190823_064003.wav",1600,1778,39.6645599413852,2
"52","M3_20190823_064003.wav",2000,2239,32.8114506180126,2
"53","M3_20190823_064003.wav",2500,2818,34.1116382650859,2
"54","M3_20190823_064003.wav",3150,3548,49.6224746359619,2
"55","M3_20190823_064003.wav",4000,4467,34.4598925968153,2
"56","M3_20190823_064003.wav",5000,5623,46.1974411598839,2
"57","M3_20190823_064003.wav",6300,7079,41.2157074793474,2
"58","M4_20190823_064003.wav",100,112,38.1930621386541,2
"59","M4_20190823_064003.wav",125,141,28.4140912976864,2
"60","M4_20190823_064003.wav",160,178,28.8773422408108,2
"61","M4_20190823_064003.wav",200,224,29.6122527735566,2
"62","M4_20190823_064003.wav",250,282,29.9787141370447,2
"63","M4_20190823_064003.wav",315,355,31.5334866388429,2
"64","M4_20190823_064003.wav",400,447,32.096360056181,2
"65","M4_20190823_064003.wav",500,562,32.7471100080409,2
"66","M4_20190823_064003.wav",630,708,32.9691789633118,2
"67","M4_20190823_064003.wav",800,891,34.8049673426265,2
"68","M4_20190823_064003.wav",1000,1122,33.9116092905353,2
"69","M4_20190823_064003.wav",1250,1413,31.4435297925415,2
"70","M4_20190823_064003.wav",1600,1778,39.9095268720047,2
"71","M4_20190823_064003.wav",2000,2239,30.122071866455,2
